pixel_x,pixel_y,lat,lon
0,1000,43.15840385557345,-76.13778811706196
100,1000,43.15839044201582,-76.13778811717998
200,1000,43.158377028458176,-76.137788117298
300,1000,43.15836361490049,-76.13778811741602
400,1000,43.158350201342785,-76.13778811753404
500,1000,43.15833678778503,-76.13778811765206
600,1000,43.15832337422726,-76.13778811777007
700,1000,43.15830996066945,-76.1377881178881
800,1000,43.1582965471116,-76.13778811800613
900,1000,43.15828313355374,-76.13778811812415
1000,1000,43.158269719995836,-76.13778811824216
1100,1000,43.158256306437885,-76.13778811836019
1200,1000,43.15824289287992,-76.13778811847821
1300,1000,43.15822947932193,-76.13778811859622
1400,1000,43.158216065763895,-76.13778811871424
1500,1000,43.15820265220584,-76.13778811883226
1600,1000,43.158189238647736,-76.13778811895028
1700,1000,43.15817582508962,-76.1377881190683
1800,1000,43.158162411531464,-76.13778811918633
1900,1000,43.158148997973285,-76.13778811930435
2000,1000,43.15813558441506,-76.13778811942237
2100,1000,43.15812217085681,-76.13778811954039
2200,1000,43.158108757298514,-76.13778811965841
2300,1000,43.15809534374021,-76.13778811977642
2400,1000,43.158081930181865,-76.13778811989445
2500,1000,43.15806851662349,-76.13778812001247
0,1100,43.15830181514814,-76.13811098461203
100,1100,43.15829642828085,-76.13811098463106
200,1100,43.15829104141356,-76.1381109846501
300,1100,43.158285654546276,-76.13811098466914
400,1100,43.158280267678975,-76.13811098468817
500,1100,43.15827488081168,-76.1381109847072
600,1100,43.158269493944374,-76.13811098472624
700,1100,43.158264107077066,-76.13811098474527
800,1100,43.158258720209744,-76.1381109847643
900,1100,43.15825333334243,-76.13811098478332
1000,1100,43.15824794647511,-76.13811098480238
1100,1100,43.15824255960777,-76.13811098482141
1200,1100,43.15823717274043,-76.13811098484044
1300,1100,43.15823178587309,-76.13811098485948
1400,1100,43.15822639900575,-76.13811098487851
1500,1100,43.158221012138405,-76.13811098489754
1600,1100,43.15821562527103,-76.13811098491657
1700,1100,43.15821023840367,-76.13811098493561
1800,1100,43.15820485153631,-76.13811098495464
1900,1100,43.15819946466894,-76.13811098497368
2000,1100,43.158194077801554,-76.13811098499271
2100,1100,43.158188690934175,-76.13811098501175
2200,1100,43.15818330406678,-76.13811098503078
2300,1100,43.1581779171994,-76.13811098504982
2400,1100,43.158172530331996,-76.13811098506886
2500,1100,43.158167143464595,-76.13811098508789
0,1200,43.15827617732464,-76.13819210498833
100,1200,43.15827280716516,-76.1381921049958
200,1200,43.15826943700568,-76.13819210500324
300,1200,43.15826606684621,-76.13819210501069
400,1200,43.15826269668674,-76.13819210501813
500,1200,43.15825932652726,-76.1381921050256
600,1200,43.15825595636779,-76.13819210503303
700,1200,43.15825258620831,-76.13819210504049
800,1200,43.15824921604882,-76.13819210504795
900,1200,43.15824584588934,-76.13819210505538
1000,1200,43.158242475729864,-76.13819210506284
1100,1200,43.15823910557037,-76.1381921050703
1200,1200,43.158235735410884,-76.13819210507774
1300,1200,43.158232365251386,-76.1381921050852
1400,1200,43.158228995091896,-76.13819210509264
1500,1200,43.1582256249324,-76.13819210510009
1600,1200,43.158222254772895,-76.13819210510755
1700,1200,43.1582188846134,-76.138192105115
1800,1200,43.15821551445389,-76.13819210512244
1900,1200,43.1582121442944,-76.13819210512989
2000,1200,43.15820877413488,-76.13819210513734
2100,1200,43.15820540397537,-76.13819210514478
2200,1200,43.15820203381586,-76.13819210515224
2300,1200,43.15819866365635,-76.13819210515969
2400,1200,43.15819529349684,-76.13819210516714
2500,1200,43.15819192333733,-76.1381921051746
0,1300,43.15826450678798,-76.13822903153164
100,1300,43.1582620546481,-76.13822903153559
200,1300,43.15825960250822,-76.13822903153952
300,1300,43.15825715036833,-76.13822903154347
400,1300,43.15825469822844,-76.13822903154741
500,1300,43.15825224608855,-76.13822903155136
600,1300,43.15824979394866,-76.1382290315553
700,1300,43.158247341808774,-76.13822903155925
800,1300,43.15824488966888,-76.1382290315632
900,1300,43.15824243752899,-76.13822903156714
1000,1300,43.158239985389095,-76.13822903157109
1100,1300,43.1582375332492,-76.13822903157502
1200,1300,43.158235081109304,-76.13822903157897
1300,1300,43.15823262896941,-76.13822903158291
1400,1300,43.15823017682951,-76.13822903158686
1500,1300,43.15822772468962,-76.1382290315908
1600,1300,43.15822527254972,-76.13822903159475
1700,1300,43.15822282040981,-76.13822903159868
1800,1300,43.158220368269916,-76.13822903160263
1900,1300,43.15821791613001,-76.13822903160657
2000,1300,43.1582154639901,-76.13822903161052
2100,1300,43.1582130118502,-76.13822903161446
2200,1300,43.15821055971029,-76.13822903161841
2300,1300,43.15820810757038,-76.13822903162236
2400,1300,43.15820565543048,-76.1382290316263
2500,1300,43.15820320329057,-76.13822903163025
0,1400,43.15825783313679,-76.13825014749277
100,1400,43.158255905954555,-76.13825014749521
200,1400,43.15825397877233,-76.13825014749764
300,1400,43.1582520515901,-76.13825014750007
400,1400,43.15825012440787,-76.13825014750252
500,1400,43.158248197225646,-76.13825014750495
600,1400,43.15824627004343,-76.13825014750739
700,1400,43.158244342861195,-76.13825014750982
800,1400,43.158242415678956,-76.13825014751227
900,1400,43.15824048849673,-76.1382501475147
1000,1400,43.158238561314505,-76.13825014751714
1100,1400,43.15823663413227,-76.13825014751957
1200,1400,43.15823470695003,-76.13825014752202
1300,1400,43.15823277976781,-76.13825014752445
1400,1400,43.158230852585575,-76.13825014752689
1500,1400,43.15822892540334,-76.13825014752932
1600,1400,43.1582269982211,-76.13825014753176
1700,1400,43.15822507103886,-76.1382501475342
1800,1400,43.15822314385663,-76.13825014753662
1900,1400,43.1582212166744,-76.13825014753907
2000,1400,43.15821928949216,-76.1382501475415
2100,1400,43.15821736230992,-76.13825014754394
2200,1400,43.15821543512768,-76.13825014754637
2300,1400,43.15821350794544,-76.1382501475488
2400,1400,43.1582115807632,-76.13825014755125
2500,1400,43.15820965358096,-76.13825014755368
0,1500,43.15825351304046,-76.13826381661077
100,1500,43.15825192568219,-76.13826381661242
200,1500,43.158250338323924,-76.13826381661409
300,1500,43.15824875096564,-76.13826381661573
400,1500,43.158247163607385,-76.13826381661738
500,1500,43.158245576249115,-76.13826381661904
600,1500,43.158243988890845,-76.13826381662068
700,1500,43.15824240153258,-76.13826381662234
800,1500,43.158240814174306,-76.13826381662399
900,1500,43.158239226816036,-76.13826381662564
1000,1500,43.15823763945777,-76.1382638166273
1100,1500,43.15823605209949,-76.13826381662895
1200,1500,43.15823446474121,-76.13826381663061
1300,1500,43.15823287738295,-76.13826381663226
1400,1500,43.15823129002467,-76.13826381663391
1500,1500,43.158229702666404,-76.13826381663557
1600,1500,43.15822811530812,-76.13826381663722
1700,1500,43.15822652794985,-76.13826381663887
1800,1500,43.15822494059157,-76.13826381664053
1900,1500,43.15822335323331,-76.13826381664218
2000,1500,43.15822176587502,-76.13826381664383
2100,1500,43.15822017851675,-76.13826381664548
2200,1500,43.15821859115847,-76.13826381664713
2300,1500,43.158217003800196,-76.13826381664879
2400,1500,43.15821541644192,-76.13826381665044
2500,1500,43.15821382908364,-76.1382638166521
0,1600,43.15825048810702,-76.13827338772927
100,1600,43.15824913869356,-76.13827338773046
200,1600,43.15824778928011,-76.13827338773166
300,1600,43.15824643986665,-76.13827338773287
400,1600,43.15824509045321,-76.13827338773406
500,1600,43.158243741039755,-76.13827338773525
600,1600,43.1582423916263,-76.13827338773645
700,1600,43.15824104221285,-76.13827338773764
800,1600,43.15823969279939,-76.13827338773883
900,1600,43.158238343385946,-76.13827338774003
1000,1600,43.15823699397249,-76.13827338774124
1100,1600,43.15823564455902,-76.13827338774243
1200,1600,43.15823429514557,-76.13827338774361
1300,1600,43.158232945732124,-76.1382733877448
1400,1600,43.15823159631867,-76.138273387746
1500,1600,43.15823024690521,-76.13827338774719
1600,1600,43.15822889749175,-76.1382733877484
1700,1600,43.158227548078294,-76.13827338774959
1800,1600,43.15822619866484,-76.13827338775077
1900,1600,43.15822484925139,-76.13827338775198
2000,1600,43.15822349983792,-76.13827338775316
2100,1600,43.158222150424464,-76.13827338775437
2200,1600,43.158220801011005,-76.13827338775556
2300,1600,43.15821945159756,-76.13827338775675
2400,1600,43.158218102184094,-76.13827338775795
2500,1600,43.158216752770635,-76.13827338775914
0,1700,43.15824825182809,-76.13828046348293
100,1700,43.15824707832293,-76.13828046348382
200,1700,43.158245904817754,-76.13828046348473
300,1700,43.158244731312585,-76.13828046348563
400,1700,43.158243557807424,-76.13828046348654
500,1700,43.15824238430226,-76.13828046348743
600,1700,43.15824121079709,-76.13828046348834
700,1700,43.158240037291925,-76.13828046348925
800,1700,43.15823886378675,-76.13828046349015
900,1700,43.15823769028158,-76.13828046349106
1000,1700,43.15823651677642,-76.13828046349195
1100,1700,43.15823534327126,-76.13828046349286
1200,1700,43.158234169766075,-76.13828046349376
1300,1700,43.158232996260914,-76.13828046349467
1400,1700,43.15823182275574,-76.13828046349558
1500,1700,43.15823064925058,-76.13828046349647
1600,1700,43.15822947574541,-76.13828046349738
1700,1700,43.15822830224023,-76.13828046349828
1800,1700,43.158227128735064,-76.13828046349919
1900,1700,43.158225955229895,-76.13828046350008
2000,1700,43.15822478172472,-76.138280463501
2100,1700,43.15822360821956,-76.13828046350189
2200,1700,43.158222434714375,-76.1382804635028
2300,1700,43.158221261209206,-76.1382804635037
2400,1700,43.158220087704024,-76.1382804635046
2500,1700,43.15821891419886,-76.13828046350551
0,1800,43.15824653134824,-76.13828590720847
100,1800,43.15824549317798,-76.1382859072092
200,1800,43.15824445500772,-76.13828590720989
300,1800,43.158243416837465,-76.1382859072106
400,1800,43.15824237866721,-76.13828590721131
500,1800,43.15824134049696,-76.13828590721202
600,1800,43.1582403023267,-76.1382859072127
700,1800,43.15823926415645,-76.13828590721343
800,1800,43.15823822598618,-76.13828590721414
900,1800,43.15823718781593,-76.13828590721484
1000,1800,43.15823614964568,-76.13828590721555
1100,1800,43.15823511147541,-76.13828590721626
1200,1800,43.15823407330515,-76.13828590721697
1300,1800,43.1582330351349,-76.13828590721768
1400,1800,43.15823199696464,-76.13828590721837
1500,1800,43.15823095879439,-76.13828590721909
1600,1800,43.15822992062412,-76.13828590721978
1700,1800,43.15822888245387,-76.13828590722049
1800,1800,43.158227844283616,-76.1382859072212
1900,1800,43.15822680611336,-76.13828590722191
2000,1800,43.158225767943094,-76.13828590722262
2100,1800,43.15822472977284,-76.13828590722333
2200,1800,43.15822369160257,-76.13828590722403
2300,1800,43.15822265343231,-76.13828590722474
2400,1800,43.15822161526205,-76.13828590722545
2500,1800,43.1582205770918,-76.13828590722616
0,1900,43.15824516666566,-76.13829022516433
100,1900,43.158244235842886,-76.1382902251649
200,1900,43.15824330502009,-76.13829022516546
300,1900,43.158242374197314,-76.13829022516602
400,1900,43.158241443374536,-76.1382902251666
500,1900,43.15824051255176,-76.13829022516717
600,1900,43.15823958172897,-76.13829022516772
700,1900,43.1582386509062,-76.1382902251683
800,1900,43.158237720083406,-76.13829022516887
900,1900,43.158236789260634,-76.13829022516943
1000,1900,43.158235858437855,-76.13829022517001
1100,1900,43.15823492761507,-76.13829022517058
1200,1900,43.15823399679229,-76.13829022517113
1300,1900,43.15823306596952,-76.13829022517172
1400,1900,43.15823213514673,-76.13829022517228
1500,1900,43.158231204323954,-76.13829022517285
1600,1900,43.15823027350116,-76.13829022517342
1700,1900,43.15822934267839,-76.13829022517399
1800,1900,43.15822841185562,-76.13829022517454
1900,1900,43.15822748103283,-76.13829022517513
2000,1900,43.15822655021004,-76.1382902251757
2100,1900,43.15822561938726,-76.13829022517625
2200,1900,43.15822468856448,-76.13829022517683
2300,1900,43.15822375774169,-76.1382902251774
2400,1900,43.1582228269189,-76.13829022517795
2500,1900,43.15822189609613,-76.13829022517854
